一级分类,二级分类,网页链接,从第几页开始,到第几页为止
运动鞋,低帮鞋,https://www.farfetch.com/cn/shopping/women/low-tops-1/items.aspx,1,3
乐福鞋,乐福鞋,https://www.farfetch.com/cn/shopping/women/loafers-1/items.aspx,1,3
芭蕾平底鞋,芭蕾平底鞋,https://www.farfetch.com/cn/shopping/women/ballet-flats-1/items.aspx,1,3
