一级分类,二级分类,网页链接,从第几页开始,到第几页为止
夹克,马甲,https://www.farfetch.com/cn/shopping/women/waistcoat-gilet-1/items.aspx,1,21
半身裙,百褶半身裙,https://www.farfetch.com/cn/shopping/women/pleated-skirts-1/items.aspx,1,22
上衣,polo衫,https://www.farfetch.com/cn/shopping/women/polo-shirts-1/items.aspx,1,23
夹克,合身夹克,https://www.farfetch.com/cn/shopping/women/fitted-jackets-1/items.aspx,1,23
裤子,高腰裤,https://www.farfetch.com/cn/shopping/women/high-waisted-trousers-1/items.aspx,1,24
裤子,喇叭裤,https://www.farfetch.com/cn/shopping/women/flared-trousers-1/items.aspx,1,30
裤子,运动裤,https://www.farfetch.com/cn/shopping/women/track-pant-1/items.aspx,1,31
夹克,飞行员夹克,https://www.farfetch.com/cn/shopping/women/sport-jacket-1/items.aspx,1,31
外套,单排扣大衣,https://www.farfetch.com/cn/shopping/women/single-breasted-coats-1/items.aspx,1,31
短裤,超短裤,https://www.farfetch.com/cn/shopping/women/short-shorts-1/items.aspx,1,34
夹克,蓬松夹克,https://www.farfetch.com/cn/shopping/women/padded-jackets-1/items.aspx,1,34
裤子,西裤,https://www.farfetch.com/cn/shopping/women/tailored-trousers-1/items.aspx,1,35
半身裙,直筒半身裙,https://www.farfetch.com/cn/shopping/women/straight-skirts-1/items.aspx,1,35
牛仔服装,阔腿牛仔裤,https://www.farfetch.com/cn/shopping/women/wide-leg-denim-1/items.aspx,1,36
上衣,连帽衫,https://www.farfetch.com/cn/shopping/women/hoodie-sweatshirt-1/items.aspx,1,41
牛仔服装,直筒牛仔裤,https://www.farfetch.com/cn/shopping/women/straight-leg-denim-1/items.aspx,1,41
上衣,卫衣,https://www.farfetch.com/cn/shopping/women/sweater-1/items.aspx,1,42
沙滩装,比基尼,https://www.farfetch.com/cn/shopping/women/bikinis-1/items.aspx,1,45
半身裙,A字半身裙,https://www.farfetch.com/cn/shopping/women/a-line-skirts-1/items.aspx,1,46
裤子,阔腿裤,https://www.farfetch.com/cn/shopping/women/wide-leg-trousers-1/items.aspx,1,52
针织衫,开衫,https://www.farfetch.com/cn/shopping/women/knitwear-cardigan-1/items.aspx,1,68
夹克,西装夹克,https://www.farfetch.com/cn/shopping/women/blazer-1/items.aspx,1,74
连衣裙,晚间连衣裙,https://www.farfetch.com/cn/shopping/women/evening-dresses-1/items.aspx,1,83
裤子,直筒裤,https://www.farfetch.com/cn/shopping/women/straight-trousers-1/items.aspx,1,87
上衣,罩衫,https://www.farfetch.com/cn/shopping/women/blouses-1/items.aspx,1,108
连衣裙,酒会和派对礼服,https://www.farfetch.com/cn/shopping/women/cocktail-party-dresses-1/items.aspx,1,113
上衣,背心吊带,https://www.farfetch.com/cn/shopping/women/vest-tank-1/items.aspx,1,118
上衣,衬衫,https://www.farfetch.com/cn/shopping/women/shirts-1/items.aspx,1,139
针织衫,毛衣,https://www.farfetch.com/cn/shopping/women/knitwear-sweaters-1/items.aspx,1,142
上衣,T恤,https://www.farfetch.com/cn/shopping/women/t-shirts-jersey-1/items.aspx,1,232
连衣裙,日常连衣裙,https://www.farfetch.com/cn/shopping/women/day-dresses-1/items.aspx,1,263
